Rk,Player,Pos,Squad,Age,Born,90s,PerformanceCrdY,PerformanceCrdR,Performance2CrdY,PerformanceFls,PerformanceFld,PerformanceOff,PerformanceCrs,PerformanceInt,PerformanceTklW,PerformancePKwon,PerformancePKcon,PerformanceOG,PerformanceRecov,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%,Matches,ID
1,Che Adams,FW,sct Scotland,27,1996,2.3,0,0,0,6,3,1,1,1,1,0,0,0,2,3,8,27.3,Matches,ChFWsc271996
2,Michel Aebischer,DF,ch Switzerland,27,1997,5.3,0,0,0,2,7,1,3,2,3,0,0,0,20,4,6,40.0,Matches,MiDFch271997
3,Arlind Ajeti,DF,al Albania,30,1993,3.0,0,0,0,1,0,0,0,6,0,0,0,0,5,4,9,30.8,Matches,ArDFal301993
4,Manuel Akanji,DF,ch Switzerland,28,1995,5.3,0,0,0,2,2,0,0,4,2,0,0,0,24,7,6,53.8,Matches,MaDFch281995
5,Samet Akaydın,DF,tr Türkiye,29,1994,3.7,2,0,0,3,1,0,0,7,4,0,0,1,9,10,6,62.5,Matches,SaDFtr291994
6,Nathan Aké,DF,nl Netherlands,28,1995,5.2,1,0,0,3,1,0,1,6,5,0,0,0,11,3,4,42.9,Matches,NaDFnl281995
7,Yunus Akgün,FW,tr Türkiye,23,2000,0.8,0,0,0,0,2,0,3,0,1,0,0,0,2,0,0,,Matches,YuFWtr232000
8,Kerem Aktürkoğlu,FW/MF,tr Türkiye,25,1998,1.2,0,0,0,2,0,1,3,1,1,0,0,0,6,0,2,0.0,Matches,KeFWtr251998
9,Trent Alexander-Arnold,MF/DF,eng England,25,1998,1.5,0,0,0,1,3,0,5,2,0,0,0,0,3,1,0,100.0,Matches,TrMFen251998
10,Denis Alibec,FW,ro Romania,33,1991,0.3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,,Matches,DeFWro331991
11,Barış Alper Yılmaz,FW,tr Türkiye,23,2000,5.0,0,0,0,3,11,2,8,0,0,0,0,0,14,5,10,33.3,Matches,BaFWtr232000
12,Sandro Altunashvili,MF,ge Georgia,26,1997,0.6,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,,Matches,SaMFge261997
13,Zeki Amdouni,MF/FW,ch Switzerland,23,2000,0.6,0,0,0,1,2,0,0,0,0,0,0,0,4,1,1,50.0,Matches,ZeMFch232000
14,Joachim Andersen,DF,dk Denmark,27,1996,4.0,1,0,0,8,0,0,5,2,1,0,1,0,9,18,4,81.8,Matches,JoDFdk271996
15,Robert Andrich,MF,de Germany,29,1994,3.5,2,0,0,11,3,0,1,2,8,0,0,0,15,6,8,42.9,Matches,RoMFde291994
16,Waldemar Anton,DF,de Germany,27,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches,WaDFde271996
17,Stuart Armstrong,MF,sct Scotland,31,1992,0.2,0,0,0,1,0,0,3,0,0,0,0,0,1,1,1,50.0,Matches,StMFsc311992
18,Marko Arnautović,FW,at Austria,34,1989,3.1,1,0,0,6,6,3,2,0,1,0,0,0,4,4,7,36.4,Matches,MaFWat341989
19,Jasir Asani,FW,al Albania,28,1995,2.3,0,0,0,2,5,1,4,4,1,0,0,0,8,0,2,0.0,Matches,JaFWal281995
20,Kristjan Asllani,MF,al Albania,21,2002,3.0,0,0,0,2,4,1,13,3,1,0,0,0,8,0,2,0.0,Matches,KrMFal212002
21,Kaan Ayhan,MF/DF,tr Türkiye,29,1994,4.0,1,0,0,3,4,0,1,2,3,0,0,0,6,7,3,70.0,Matches,KaMFtr291994
22,Alex Baena,MF/FW,es Spain,22,2001,0.3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,Matches,AlMFes222001
23,Alexander Bah,DF/MF,dk Denmark,26,1997,3.1,0,0,0,3,2,0,6,5,4,0,0,0,9,7,3,70.0,Matches,AlDFdk261997
24,Nedim Bajrami,FW/MF,al Albania,24,1999,2.7,1,0,0,2,0,2,4,0,1,0,0,0,10,1,1,50.0,Matches,NeFWal241999
25,Johan Bakayoko,FW/DF,be Belgium,20,2003,0.5,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,,Matches,JoFWbe202003
26,Jure Balkovec,DF,si Slovenia,29,1994,1.3,1,0,0,1,0,0,1,2,3,0,0,0,1,1,2,33.3,Matches,JuDFsi291994
27,Iván Balliu,DF,al Albania,32,1992,1.0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,,Matches,IvDFal321992
28,Nicușor Bancu,DF,ro Romania,31,1992,3.0,2,0,0,4,2,0,5,0,2,0,0,0,10,1,1,50.0,Matches,NiDFro311992
29,Antonín Barák,MF,cz Czechia,29,1994,0.5,2,1,1,3,1,0,1,0,1,0,0,0,4,0,2,0.0,Matches,AnMFcz291994
30,Bradley Barcola,FW/MF,fr France,21,2002,1.1,0,0,0,1,3,0,1,0,4,0,0,0,4,0,0,,Matches,BrFWfr212002
31,Abdülkerim Bardakcı,DF,tr Türkiye,29,1994,4.0,2,0,0,3,1,0,1,2,2,0,0,0,17,7,7,50.0,Matches,AbDFtr291994
32,Nicolò Barella,MF,it Italy,26,1997,3.7,1,0,0,5,2,1,2,3,5,0,0,0,14,1,1,50.0,Matches,NiMFit261997
33,Alessandro Bastoni,DF,it Italy,24,1999,4.0,0,0,0,3,6,0,1,1,2,0,0,0,24,4,5,44.4,Matches,AlDFit241999
34,Martin Baturina,FW,hr Croatia,20,2003,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches,MaFWhr202003
35,Christoph Baumgartner,MF/FW,at Austria,24,1999,3.2,1,0,0,4,8,1,6,1,1,0,0,0,14,5,9,35.7,Matches,ChMFat241999
36,Altay Bayındır,GK,tr Türkiye,25,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches,AlGKtr251998
37,Jan Bednarek,DF,pl Poland,27,1996,3.0,0,0,0,2,4,0,0,3,1,0,0,0,8,2,5,28.6,Matches,JaDFpl271996
38,Maximilian Beier,FW,de Germany,21,2002,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0,Matches,MaFWde212002
39,Jude Bellingham,MF/FW,eng England,20,2003,7.4,2,0,0,6,16,0,8,4,11,0,0,0,27,6,13,31.6,Matches,JuMFen202003
40,László Bénes,MF,sk Slovakia,26,1997,0.8,0,0,0,0,0,0,6,0,1,0,0,0,5,0,0,,Matches,LáMFsk261997
41,Bartosz Bereszyński,DF,pl Poland,31,1992,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches,BaDFpl311992
42,Steven Bergwijn,FW,nl Netherlands,26,1997,1.0,0,0,0,1,1,1,2,0,0,0,0,0,5,0,0,,Matches,StFWnl261997
43,Medon Berisha,MF,al Albania,20,2003,0.2,1,0,0,1,0,0,0,1,0,0,0,0,3,0,2,0.0,Matches,MeMFal202003
44,Victor Bernth Kristiansen,DF/MF,dk Denmark,21,2002,1.7,0,0,0,0,0,1,4,0,3,0,0,0,6,2,5,28.6,Matches,ViDFdk212002
45,Matúš Bero,MF/DF,sk Slovakia,28,1995,0.5,0,0,0,0,0,0,2,1,1,0,0,0,3,0,0,,Matches,MaMFsk281995
46,Jaka Bijol,DF,si Slovenia,24,1999,4.3,2,0,0,6,0,1,1,6,6,0,0,0,9,9,8,52.9,Matches,JaDFsi241999
47,Veljko Birmančević,DF,rs Serbia,25,1998,0.3,0,0,0,0,1,0,5,2,0,0,0,0,0,0,1,0.0,Matches,VeDFrs251998
48,Daley Blind,FW,nl Netherlands,33,1990,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,DaFWnl331990
49,Bendegúz Bolla,DF,hu Hungary,24,1999,2.3,1,0,0,3,1,1,8,1,3,0,0,0,3,0,1,0.0,Matches,BeDFhu241999
50,Endre Botka,DF,hu Hungary,29,1994,1.0,0,0,0,2,0,0,0,1,1,0,0,0,2,6,6,50.0,Matches,EnDFhu291994
51,Jarrod Bowen,FW,eng England,27,1996,0.4,0,0,0,1,1,0,3,1,1,0,0,0,1,2,1,66.7,Matches,JaFWen271996
52,Róbert Boženík,FW,sk Slovakia,24,1999,2.3,0,0,0,5,1,0,2,0,3,0,0,0,6,3,10,23.1,Matches,RóFWsk241999
53,Volodymyr Brazhko,MF,ua Ukraine,22,2002,2.0,0,0,0,2,3,0,0,5,5,0,0,0,9,0,3,0.0,Matches,VoMFua222002
54,David Brekalo,MF,si Slovenia,25,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,DaMFsi251998
55,Brian Brobbey,FW,nl Netherlands,21,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,BrFWnl212002
56,Armando Broja,FW,al Albania,22,2001,1.2,1,0,0,2,5,0,0,0,1,0,0,0,1,2,1,66.7,Matches,ArFWal222001
57,Marcelo Brozović,MF,hr Croatia,31,1992,2.5,1,0,0,2,0,0,4,4,0,0,0,0,2,1,1,50.0,Matches,MaMFhr311992
58,Jacob Bruun Larsen,FW,dk Denmark,25,1998,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches,JaFWdk251998
59,Ante Budimir,FW,hr Croatia,32,1991,1.4,0,0,0,5,1,0,1,0,2,0,0,0,1,7,11,38.9,Matches,AnteFWhr321991
60,Adam Buksa,FW,pl Poland,27,1996,1.7,0,0,0,2,4,0,0,0,0,0,0,0,0,3,7,30.0,Matches,AdFWpl271996
61,Andrei Burcă,DF,ro Romania,30,1993,4.0,1,0,0,1,1,0,1,1,2,0,0,0,8,6,8,42.9,Matches,AnDFro301993
62,Riccardo Calafiori,DF,it Italy,21,2002,3.0,2,0,0,4,2,0,1,6,1,0,0,1,13,7,2,77.8,Matches,RiDFit212002
63,Hakan Çalhanoğlu,MF,tr Türkiye,29,1994,3.9,2,0,0,7,3,1,16,1,4,0,0,0,22,3,3,50.0,Matches,HaMFtr291994
64,Eduardo Camavinga,MF,fr France,21,2002,1.9,1,0,0,8,6,0,0,1,2,0,0,0,5,2,0,100.0,Matches,EdMFfr212002
65,Andrea Cambiaso,FW/DF,it Italy,23,2000,0.8,0,0,0,2,1,0,5,0,4,0,0,0,4,0,0,,Matches,AnFWit232000
66,Emre Can,MF,de Germany,30,1994,1.1,0,0,0,2,2,0,0,1,3,0,0,0,2,0,1,0.0,Matches,EmMFde301994
67,João Cancelo,DF/MF,pt Portugal,29,1994,3.8,1,0,0,1,4,0,9,4,4,0,0,0,22,4,4,50.0,Matches,JoDFpt291994
68,Yannick Carrasco,DF/FW,be Belgium,30,1993,2.4,0,0,0,2,1,1,3,0,2,0,0,0,11,0,0,,Matches,YaDFbe301993
69,Dani Carvajal,DF,es Spain,32,1992,5.2,3,1,1,5,3,0,10,6,5,0,0,0,18,6,7,46.2,Matches,DaDFes321992
70,Timothy Castagne,DF,be Belgium,28,1995,4.0,0,0,0,2,0,0,5,2,1,0,0,0,14,3,5,37.5,Matches,TiDFbe281995
71,Koen Casteels,GK,be Belgium,31,1992,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0,Matches,KoGKbe311992
72,Žan Celar,FW/MF,si Slovenia,24,1999,0.7,1,0,0,1,0,2,0,1,1,0,0,0,1,2,0,100.0,Matches,ŽaFWsi241999
73,Zeki Çelik,DF/MF,tr Türkiye,26,1997,1.2,1,0,0,3,0,0,6,0,0,0,0,0,4,2,2,50.0,Matches,ZeDFtr261997
74,Václav Černý,MF,cz Czechia,26,1997,0.6,0,0,0,1,0,1,5,0,1,0,0,0,2,0,0,,Matches,VáMFcz261997
75,Giorgi Chakvetadze,MF/FW,ge Georgia,24,1999,2.7,0,0,0,4,1,0,4,1,5,0,0,0,10,3,3,50.0,Matches,GicMFge241999
76,Federico Chiesa,FW/MF,it Italy,26,1997,2.9,0,0,0,3,1,0,17,3,4,0,0,0,9,0,1,0.0,Matches,FeFWit261997
77,Tomáš Chorý,MF,cz Czechia,29,1995,0.4,0,1,0,2,1,0,0,0,0,0,0,0,0,2,6,25.0,Matches,ToMFcz291995
78,Andreas Christensen,DF,dk Denmark,27,1996,3.9,0,0,0,2,3,0,0,6,2,0,0,0,10,9,3,75.0,Matches,AnDFdk271996
79,Ryan Christie,MF/FW,sct Scotland,28,1995,1.1,0,0,0,3,4,0,1,0,0,0,0,0,4,4,2,66.7,Matches,RyMFsc281995
80,Mojmir Chytil,FW,cz Czechia,24,1999,1.2,0,0,0,2,3,0,2,0,0,0,0,0,3,3,5,37.5,Matches,MoFWcz241999
81,Alexandru Cicâldău,MF,ro Romania,26,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,AlMFro261997
82,Florinel Coman,MF,ro Romania,25,1998,1.3,0,0,0,0,1,0,1,1,1,0,0,0,2,1,0,100.0,Matches,FlMFro251998
83,Kingsley Coman,MF,fr France,27,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,KiMFfr271996
84,Francisco Conceição,FW/MF,pt Portugal,21,2002,2.0,1,0,0,2,3,0,16,0,1,0,0,0,9,0,1,0.0,Matches,FrFWpt212002
85,Diogo Costa,GK,pt Portugal,24,1999,5.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches,DiGKpt241999
86,Vladimír Coufal,DF/FW,cz Czechia,31,1992,3.0,1,0,0,1,1,0,22,2,4,0,0,0,12,3,5,37.5,Matches,VlDFcz311992
87,Bryan Cristante,MF,it Italy,28,1995,1.5,1,0,0,3,1,0,3,2,0,0,0,0,4,3,1,75.0,Matches,BrMFit281995
88,Kevin Csoboth,DF,hu Hungary,23,2000,0.1,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,,Matches,KeDFhu232000
89,Marc Cucurella,DF,es Spain,25,1998,6.1,0,0,0,8,12,0,5,8,9,0,0,0,21,9,6,60.0,Matches,MaDFes251998
90,Mirlind Daku,FW,al Albania,26,1998,0.1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,100.0,Matches,MiFWal261998
91,Diogo Dalot,DF/MF,pt Portugal,24,1999,1.7,0,0,0,2,0,0,3,1,1,0,0,0,10,2,0,100.0,Matches,DiDFpt241999
92,Mikkel Damsgaard,FW,dk Denmark,23,2000,0.4,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,50.0,Matches,MiFWdk232000
93,Kevin Danso,DF,at Austria,25,1998,2.4,1,0,0,4,5,0,0,0,0,0,0,0,11,6,8,42.9,Matches,KeDFat251998
94,Márton Dárdai,DF,hu Hungary,21,2002,1.9,0,0,0,3,3,0,0,0,1,0,0,0,0,4,0,100.0,Matches,MáDFhu212002
95,Matteo Darmian,DF,it Italy,34,1989,1.8,0,0,0,4,1,1,1,1,1,0,0,0,8,1,0,100.0,Matches,MaDFit341989
96,Zuriko Davitashvili,FW/MF,ge Georgia,22,2001,1.3,1,0,0,1,4,0,1,0,3,0,0,0,1,1,2,33.3,Matches,ZuFWge222001
97,Paweł Dawidowicz,DF,pl Poland,28,1995,2.0,1,0,0,5,0,0,0,0,0,0,0,0,5,2,1,66.7,Matches,PaDFpl281995
98,Kevin De Bruyne,MF,be Belgium,32,1991,4.0,0,0,0,5,6,2,21,0,1,0,0,0,16,7,1,87.5,Matches,KeMFbe321991
99,Charles De Ketelaere,FW,be Belgium,22,2001,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches,ChFWbe222001
100,Zeno Debast,DF,be Belgium,20,2003,1.2,0,0,0,3,0,0,0,0,1,0,0,0,7,1,1,50.0,Matches,ZeDFbe202003
101,Thomas Delaney,MF,dk Denmark,32,1991,0.9,0,0,0,3,1,1,1,2,0,0,0,0,4,2,3,40.0,Matches,ThMFdk321991
102,Ousmane Dembélé,FW/MF,fr France,26,1997,4.0,1,0,0,7,7,1,36,1,5,1,0,0,12,3,2,60.0,Matches,OuFWfr261997
103,Merih Demiral,DF,tr Türkiye,25,1998,2.3,0,0,0,2,2,0,2,4,2,0,0,0,5,14,4,77.8,Matches,MeDFtr251998
104,Giovanni Di Lorenzo,DF/FW,it Italy,30,1993,4.0,0,0,0,4,6,1,2,6,9,0,0,0,11,6,3,66.7,Matches,GiDFit301993
105,Rúben Dias,DF,pt Portugal,26,1997,4.7,0,0,0,2,0,1,3,3,1,0,0,0,8,11,7,61.1,Matches,RúDFpt261997
106,Federico Dimarco,DF/FW,it Italy,26,1997,2.5,0,0,0,0,2,0,12,2,2,0,0,0,7,1,1,50.0,Matches,FeDFit261997
107,Berat Djimsiti,DF,al Albania,30,1993,3.0,0,0,0,1,2,0,0,2,0,0,0,0,5,6,2,75.0,Matches,BeDFal301993
108,Jeremy Doku,FW/MF,be Belgium,21,2002,3.6,0,0,0,5,8,0,8,1,2,0,0,0,12,1,2,33.3,Matches,JeFWbe212002
109,Kasper Dolberg,FW,dk Denmark,26,1997,0.4,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,100.0,Matches,KaFWdk261997
110,Gianluigi Donnarumma,GK,it Italy,24,1999,4.0,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100.0,Matches,GiGKit241999
111,David Doudera,FW,cz Czechia,25,1998,1.0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,,Matches,DaFWcz251998
112,Artem Dovbyk,FW,ua Ukraine,26,1997,2.7,1,0,0,3,2,3,0,1,2,0,0,0,6,7,2,77.8,Matches,ArFWua261997
113,Denis Drăguș,FW,ro Romania,24,1999,3.2,0,0,0,8,3,1,1,1,1,0,0,0,8,2,12,14.3,Matches,DeFWro241999
114,Radu Drăgușin,DF,ro Romania,21,2002,4.0,0,0,0,1,5,0,0,6,1,0,0,0,13,5,3,62.5,Matches,RaDFro212002
115,Vanja Drkušič,DF,si Slovenia,24,1999,4.3,1,0,0,7,1,0,1,1,7,0,1,0,13,6,4,60.0,Matches,VaDFsi241999
116,Kwadwo Duah,FW,ch Switzerland,26,1997,1.2,0,0,0,1,1,1,1,1,1,0,0,0,2,5,2,71.4,Matches,KwFWch261997
117,Martin Dúbravka,GK,sk Slovakia,35,1989,4.3,0,0,0,0,1,0,0,1,0,0,0,0,1,5,0,100.0,Matches,MaGKsk351989
118,Ondrej Duda,MF,sk Slovakia,29,1994,3.5,1,0,0,9,6,0,9,3,3,0,0,0,11,3,3,50.0,Matches,OnMFsk291994
119,Denzel Dumfries,DF,nl Netherlands,27,1996,5.0,2,0,0,9,4,1,18,3,5,0,1,0,15,7,5,58.3,Matches,DeDFnl271996
120,Dávid Ďuriš,FW/MF,sk Slovakia,24,1999,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,DáFWsk241999
121,Lasha Dvali,DF,ge Georgia,28,1995,4.0,0,0,0,2,0,0,0,1,3,0,0,0,7,6,9,40.0,Matches,LaDFge281995
122,Timi Elšnik,MF,si Slovenia,25,1998,4.0,0,0,0,4,3,0,4,4,7,0,0,0,22,4,2,66.7,Matches,TiMFsi251998
123,Breel Embolo,FW,ch Switzerland,26,1997,3.3,0,0,0,4,9,1,1,1,3,0,0,0,7,2,9,18.2,Matches,BrFWch261997
124,Christian Eriksen,MF/FW,dk Denmark,31,1992,3.9,0,0,0,0,4,1,32,2,2,0,0,0,22,0,2,0.0,Matches,ChMFdk311992
125,Eberechi Eze,DF/MF,eng England,25,1998,1.1,0,0,0,1,5,0,5,0,0,0,0,0,4,1,5,16.7,Matches,EbDFen251998
126,Wout Faes,DF,be Belgium,25,1998,4.0,1,0,0,4,2,0,0,4,7,0,0,0,14,3,9,25.0,Matches,WoDFbe251998
127,Nicolò Fagioli,MF,it Italy,22,2001,1.1,1,0,0,1,0,0,4,0,1,0,0,0,5,0,0,,Matches,NiMFit222001
128,João Félix,MF/FW,pt Portugal,24,1999,1.2,0,0,0,0,1,0,7,0,0,0,0,0,5,0,0,,Matches,JoMFpt241999
129,Bruno Fernandes,MF,pt Portugal,29,1994,4.2,0,0,0,5,6,2,32,2,5,0,0,0,22,2,5,28.6,Matches,BrMFpt291994
130,Attila Fiola,DF,hu Hungary,33,1990,2.0,0,0,0,5,3,0,1,0,1,0,0,0,2,1,2,33.3,Matches,AtDFhu331990
131,Phil Foden,FW/MF,eng England,23,2000,6.9,1,0,0,1,6,4,27,1,4,0,0,0,20,2,4,33.3,Matches,PhFWen232000
132,Youssouf Fofana,MF,fr France,25,1999,0.5,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,100.0,Matches,YoMFfr251999
133,Michael Folorunsho,FW,it Italy,25,1998,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,Matches,MiFWit251998
134,Przemysław Frankowski,DF,pl Poland,28,1995,3.0,0,0,0,5,1,0,7,1,5,0,0,0,13,1,3,25.0,Matches,PrDFpl281995
135,Davide Frattesi,MF,it Italy,24,1999,2.1,0,0,0,4,6,1,2,0,1,0,1,0,4,1,2,33.3,Matches,DaMFit241999
136,Remo Freuler,MF,ch Switzerland,31,1992,5.1,1,0,0,10,1,0,0,4,5,0,0,0,11,6,1,85.7,Matches,ReMFch311992
137,Jeremie Frimpong,FW,nl Netherlands,23,2000,1.0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0.0,Matches,JeFWnl232000
138,Chris Führich,FW,de Germany,26,1998,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches,ChFWde261998
139,Niclas Füllkrug,FW,de Germany,30,1993,1.8,0,0,0,1,2,4,0,0,0,0,0,0,1,8,2,80.0,Matches,NiFWde301993
140,Mijat Gaćinović,DF,rs Serbia,28,1995,0.5,1,0,0,1,0,0,3,0,1,0,0,0,2,2,2,50.0,Matches,MijDFrs281995
141,Cody Gakpo,FW,nl Netherlands,24,1999,5.8,0,0,0,6,8,6,22,4,8,0,0,0,18,6,4,60.0,Matches,CoFWnl241999
142,Conor Gallagher,MF,eng England,23,2000,1.3,1,0,0,5,5,0,0,1,0,0,0,0,2,2,2,50.0,Matches,CoMFen232000
143,Dániel Gazdag,MF,hu Hungary,27,1996,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,DáMFhu271996
144,Lutsharel Geertruida,DF,nl Netherlands,23,2000,1.2,0,0,0,2,2,0,1,0,3,0,0,0,1,0,1,0.0,Matches,LuDFnl232000
145,Billy Gilmour,MF,sct Scotland,22,2001,2.0,0,0,0,0,1,0,4,0,1,0,0,0,8,4,1,80.0,Matches,BiMFsc222001
146,Olivier Giroud,FW,fr France,37,1986,0.7,0,0,0,1,2,0,0,0,0,0,0,0,0,3,1,75.0,Matches,OlFWfr371986
147,Klaus Gjasula,MF,al Albania,34,1989,0.2,1,0,0,1,0,0,0,0,0,0,0,1,2,1,1,50.0,Matches,KlMFal341989
148,Adam Gnezda Čerin,MF,si Slovenia,24,1999,4.3,0,0,0,10,4,0,10,5,5,0,0,0,16,5,2,71.4,Matches,AdMFsi241999
149,Anthony Gordon,FW,eng England,22,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,AnFWen222001
150,Jon Gorenc Stanković,MF,si Slovenia,28,1996,1.0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0.0,Matches,JoMFsi281996
151,Michael Gregoritsch,FW,at Austria,29,1994,1.4,0,0,0,4,0,0,1,0,1,0,0,0,3,3,4,42.9,Matches,MiFWat291994
152,Antoine Griezmann,MF/FW,fr France,32,1991,4.4,1,0,0,2,6,0,27,1,3,0,0,0,11,1,3,25.0,Matches,AnMFfr321991
153,Florian Grillitsch,MF,at Austria,28,1995,2.2,0,0,0,2,3,0,2,6,1,0,0,0,11,1,1,50.0,Matches,FlMFat281995
154,Álex Grimaldo,DF,es Spain,28,1995,1.3,0,0,0,0,0,0,16,3,1,0,0,0,3,1,0,100.0,Matches,ÁlDFes281995
155,Pascal Groß,MF,de Germany,32,1991,0.5,0,0,0,1,0,0,1,0,1,0,0,0,4,1,1,50.0,Matches,PaMFde321991
156,Kamil Grosicki,MF,pl Poland,35,1988,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,Matches,KaMFpl351988
157,Nemanja Gudelj,MF,rs Serbia,32,1991,1.0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0.0,Matches,NeMFrs321991
158,Marc Guéhi,DF,eng England,23,2000,6.3,2,0,0,5,8,0,0,2,2,0,0,0,28,12,16,42.9,Matches,MaDFen232000
159,Péter Gulácsi,GK,hu Hungary,33,1990,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches,PaGulGKhu331990
160,Arda Güler,FW/MF,tr Türkiye,18,2005,3.8,1,0,0,2,6,1,26,3,5,0,0,0,16,0,7,0.0,Matches,ArFWtr182005
161,İlkay Gündoğan,MF,de Germany,33,1990,4.3,0,0,0,4,7,1,3,1,4,1,0,0,10,3,4,42.9,Matches,İlMFde331990
162,Angus Gunn,GK,sct Scotland,28,1996,3.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches,AnGKsc281996
