ID,Player,Pos,Squad,Age,Born,PlayingTimeMP,PlayingTimeMin,PlayingTimeMn/MP,PlayingTimeMin%,PlayingTime90s,Starts,StartsMn/Start,StartsCompl,Subs,SubsMn/Sub,SubsunSub,TeamSuccessPPM,TeamSuccessonG,TeamSuccessonGA,TeamSuccess+/-,TeamSuccess+/-90,TeamSuccessOn-Off,TeamSuccess(xG)onxG,TeamSuccess(xG)onxGA,TeamSuccess(xG)xG+/-,TeamSuccess(xG)xG+/-90,TeamSuccess(xG)On-Off,Matches
KeMFbe321991,Kevin De Bruyne,MF,be Belgium,32,1991,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,2.0,2.0,0.0,0.0,,4.5,3.4,1.1,0.28,,Matches
MaDFbe232000,Maxim De Cuyper,DF/MF,be Belgium,23,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
ChFWbe222001,Charles De Ketelaere,FW,be Belgium,22,2001,1,3.0,3.0,0.8,0.0,0,,0,1,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.25,Matches
VeDFsk311992,Vernon De Marco Morlacchi,DF,sk Slovakia,31,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
ZeDFbe202003,Zeno Debast,DF,be Belgium,20,2003,2,104.0,52.0,28.9,1.2,1,90.0,1,1,14.0,2,1.5,1.0,1.0,0.0,0.0,0.0,2.2,0.9,1.2,1.07,1.12,Matches
ThMFdk321991,Thomas Delaney,MF,dk Denmark,32,1991,3,84.0,28.0,23.3,0.9,1,68.0,0,2,8.0,0,0.67,0.0,2.0,-2.0,-2.14,-2.14,0.9,2.4,-1.4,-1.55,-1.87,Matches
OuFWfr261997,Ousmane Dembélé,FW/MF,fr France,26,1997,5,361.0,72.0,63.3,4.0,4,77.0,0,1,54.0,1,1.2,3.0,3.0,0.0,0.0,-0.43,7.2,4.0,3.2,0.88,0.67,Matches
MeDFtr251998,Merih Demiral,DF,tr Türkiye,25,1998,4,208.0,52.0,46.2,2.3,2,90.0,2,2,14.0,0,2.25,5.0,2.0,3.0,1.3,2.41,3.2,5.2,-1.9,-0.84,-0.96,Matches
GiDFit301993,Giovanni Di Lorenzo,DF/FW,it Italy,30,1993,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,3.0,5.0,-2.0,-0.5,,3.3,4.7,-1.4,-0.35,,Matches
RúDFpt261997,Rúben Dias,DF,pt Portugal,26,1997,4,420.0,105.0,82.4,4.7,4,105.0,4,0,,1,2.0,5.0,1.0,4.0,0.86,2.86,7.5,2.8,4.7,1.17,0.96,Matches
DéGKhu331990,Dénes Dibusz,GK,hu Hungary,33,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
FeDFit261997,Federico Dimarco,DF/FW,it Italy,26,1997,3,228.0,76.0,63.3,2.5,3,76.0,1,0,,1,1.33,2.0,3.0,-1.0,-0.39,0.29,2.1,3.2,-1.1,-0.43,-0.21,Matches
BeDFal301993,Berat Djimsiti,DF,al Albania,30,1993,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,5.0,-2.0,-0.67,,2.4,5.7,-3.2,-1.07,,Matches
JeFWbe212002,Jeremy Doku,FW/MF,be Belgium,21,2002,4,320.0,80.0,88.9,3.6,4,80.0,1,0,,0,1.0,1.0,2.0,-1.0,-0.28,-2.53,3.7,2.5,1.1,0.31,0.32,Matches
KaFWdk261997,Kasper Dolberg,FW,dk Denmark,26,1997,2,40.0,20.0,11.1,0.4,0,,0,2,20.0,2,1.0,0.0,0.0,0.0,0.0,0.56,0.1,0.2,-0.1,-0.2,-0.1,Matches
GiGKit241999,Gianluigi Donnarumma,GK,it Italy,24,1999,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,3.0,5.0,-2.0,-0.5,,3.3,4.7,-1.4,-0.35,,Matches
DaFWcz251998,David Doudera,FW,cz Czechia,25,1998,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,0.0,1.0,2.0,-1.0,-1.0,-0.5,0.4,1.9,-1.4,-1.44,-2.52,Matches
ArFWua261997,Artem Dovbyk,FW,ua Ukraine,26,1997,3,246.0,82.0,91.1,2.7,3,82.0,2,0,,0,1.33,1.0,4.0,-3.0,-1.1,-4.85,2.6,2.6,0.1,0.03,-0.51,Matches
DeFWro241999,Denis Drăguș,FW,ro Romania,24,1999,4,291.0,73.0,80.8,3.2,4,73.0,0,0,,0,1.0,4.0,4.0,0.0,0.0,2.61,3.1,4.4,-1.2,-0.38,1.46,Matches
RaDFro212002,Radu Drăgușin,DF,ro Romania,21,2002,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,4.0,6.0,-2.0,-0.5,,3.5,6.1,-2.6,-0.66,,Matches
AnFWdk251998,Anders Dreyer,FW/MF,dk Denmark,25,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
VaDFsi241999,Vanja Drkušič,DF,si Slovenia,24,1999,4,390.0,98.0,100.0,4.3,4,98.0,4,0,,0,1.0,2.0,2.0,0.0,0.0,,3.2,6.1,-2.9,-0.71,-0.71,Matches
KwFWch261997,Kwadwo Duah,FW,ch Switzerland,26,1997,3,107.0,36.0,22.3,1.2,1,67.0,0,2,20.0,2,2.33,2.0,2.0,0.0,0.0,-0.97,1.6,2.0,-0.4,-0.36,-0.9,Matches
MaGKsk351989,Martin Dúbravka,GK,sk Slovakia,35,1989,4,390.0,98.0,100.0,4.3,4,98.0,4,0,,0,1.0,4.0,5.0,-1.0,-0.23,,4.4,5.8,-1.4,-0.34,-0.34,Matches
OnMFsk291994,Ondrej Duda,MF,sk Slovakia,29,1994,4,317.0,79.0,81.3,3.5,4,79.0,0,0,,0,1.0,4.0,2.0,2.0,0.57,4.27,3.2,4.9,-1.7,-0.47,-0.85,Matches
DeDFnl271996,Denzel Dumfries,DF,nl Netherlands,27,1996,5,449.0,90.0,83.1,5.0,5,90.0,4,0,,1,2.0,8.0,4.0,4.0,0.8,1.79,6.2,5.5,0.7,0.15,-0.66,Matches
LeDFen321991,Lewis Dunk,DF,eng England,32,1991,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
DáFWsk241999,Dávid Ďuriš,FW/MF,sk Slovakia,24,1999,2,23.0,12.0,5.9,0.3,0,,0,2,12.0,2,2.0,0.0,0.0,0.0,0.0,0.25,0.0,0.1,-0.1,-0.35,-0.04,Matches
LaDFge281995,Lasha Dvali,DF,ge Georgia,28,1995,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,5.0,8.0,-3.0,-0.75,,4.4,11.3,-6.9,-1.74,,Matches
TiMFsi251998,Timi Elšnik,MF,si Slovenia,25,1998,4,359.0,90.0,92.1,4.0,4,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,2.5,5.7,-3.2,-0.8,-1.71,Matches
NiDFch271996,Nico Elvedi,DF,ch Switzerland,27,1996,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
BrFWch261997,Breel Embolo,FW,ch Switzerland,26,1997,5,296.0,59.0,61.7,3.3,3,83.0,0,2,24.0,0,1.8,5.0,1.0,4.0,1.22,1.22,3.8,2.6,1.2,0.37,0.06,Matches
MaFWat261997,Maximilian Entrup,FW,at Austria,26,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
ChMFdk311992,Christian Eriksen,MF/FW,dk Denmark,31,1992,4,348.0,87.0,96.7,3.9,4,87.0,2,0,,0,0.75,2.0,4.0,-2.0,-0.52,-0.52,3.8,4.7,-0.8,-0.21,-2.64,Matches
MaDFhr261998,Martin Erlic,DF,hr Croatia,26,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
EbDFen251998,Eberechi Eze,DF/MF,eng England,25,1998,3,102.0,34.0,14.8,1.1,0,,0,3,34.0,4,1.67,3.0,0.0,3.0,2.65,2.8,1.0,1.9,-0.9,-1.86,-1.84,Matches
WoDFbe251998,Wout Faes,DF,be Belgium,25,1998,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,2.0,2.0,0.0,0.0,,4.5,3.4,1.1,0.28,,Matches
NiMFit222001,Nicolò Fagioli,MF,it Italy,22,2001,2,95.0,48.0,26.4,1.1,1,85.0,0,1,10.0,2,0.5,1.0,2.0,-1.0,-0.95,-0.61,0.8,1.2,-0.4,-0.42,-0.1,Matches
JoMFpt241999,João Félix,MF/FW,pt Portugal,24,1999,2,105.0,53.0,20.6,1.2,1,90.0,1,1,15.0,3,0.5,0.0,2.0,-2.0,-1.71,-2.6,2.2,1.9,0.3,0.3,-0.7,Matches
BrMFpt291994,Bruno Fernandes,MF,pt Portugal,29,1994,4,374.0,94.0,73.3,4.2,4,94.0,3,0,,1,2.0,5.0,1.0,4.0,0.96,2.29,6.4,2.3,4.1,1.08,0.61,Matches
AtDFhu331990,Attila Fiola,DF,hu Hungary,33,1990,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.0,1.0,5.0,-4.0,-2.0,-3.0,2.4,3.7,-1.3,-0.63,-1.69,Matches
MaGKnl301993,Mark Flekken,GK,nl Netherlands,30,1993,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
PhFWen232000,Phil Foden,FW/MF,eng England,23,2000,7,617.0,88.0,89.4,6.9,7,88.0,1,0,,0,1.71,5.0,6.0,-1.0,-0.15,-3.84,4.9,5.4,-0.5,-0.08,0.49,Matches
YoMFfr251999,Youssouf Fofana,MF,fr France,25,1999,3,41.0,14.0,7.2,0.5,0,,0,3,14.0,3,1.67,0.0,0.0,0.0,0.0,-0.17,0.6,1.0,-0.4,-3.14,-3.81,Matches
MiFWit251998,Michael Folorunsho,FW,it Italy,25,1998,1,1.0,1.0,0.3,0.0,0,,0,1,1.0,3,3.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-3.78,-3.44,Matches
JaFWsc321991,James Forrest,FW/MF,sct Scotland,32,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
PrDFpl281995,Przemysław Frankowski,DF,pl Poland,28,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,6.0,-3.0,-1.0,,4.1,5.9,-1.8,-0.6,,Matches
DaMFit241999,Davide Frattesi,MF,it Italy,24,1999,4,185.0,46.0,51.4,2.1,2,68.0,1,2,25.0,0,1.0,3.0,2.0,1.0,0.49,2.03,2.1,2.3,-0.3,-0.14,0.43,Matches
ReMFch311992,Remo Freuler,MF,ch Switzerland,31,1992,5,456.0,91.0,95.0,5.1,5,91.0,2,0,,0,1.8,7.0,4.0,3.0,0.59,-3.16,5.6,4.6,1.0,0.19,-3.12,Matches
JeFWnl232000,Jeremie Frimpong,FW,nl Netherlands,23,2000,3,86.0,29.0,15.9,1.0,1,72.0,0,2,7.0,3,2.33,1.0,0.0,1.0,1.05,0.65,0.6,2.1,-1.5,-1.52,-2.12,Matches
ChFWde261998,Chris Führich,FW,de Germany,26,1998,1,19.0,19.0,4.0,0.2,0,,0,1,19.0,4,3.0,0.0,0.0,0.0,0.0,-1.37,0.5,0.3,0.2,0.91,-0.09,Matches
NiFWde301993,Niclas Füllkrug,FW,de Germany,30,1993,5,166.0,33.0,34.6,1.8,0,,0,5,33.0,0,2.0,6.0,2.0,4.0,2.17,1.31,4.1,1.8,2.3,1.51,0.72,Matches
MijDFrs281995,Mijat Gaćinović,DF,rs Serbia,28,1995,1,45.0,45.0,16.7,0.5,0,,0,1,45.0,2,1.0,1.0,1.0,0.0,0.0,0.4,1.1,0.5,0.5,1.07,1.47,Matches
CoFWnl241999,Cody Gakpo,FW,nl Netherlands,24,1999,6,523.0,87.0,96.9,5.8,6,87.0,4,0,,0,1.67,8.0,7.0,1.0,0.17,-10.42,7.4,6.0,1.4,0.24,-0.67,Matches
CoMFen232000,Conor Gallagher,MF,eng England,23,2000,5,120.0,24.0,17.4,1.3,1,45.0,0,4,19.0,2,2.2,0.0,0.0,0.0,0.0,-0.32,1.3,1.0,0.2,0.19,0.37,Matches
FeDFit251998,Federico Gatti,DF,it Italy,25,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
DáMFhu271996,Dániel Gazdag,MF,hu Hungary,27,1996,1,4.0,4.0,1.5,0.0,0,,0,1,4.0,2,0.0,0.0,0.0,0.0,0.0,1.02,0.3,0.1,0.2,3.88,4.01,Matches
LuDFnl232000,Lutsharel Geertruida,DF,nl Netherlands,23,2000,2,108.0,54.0,20.0,1.2,1,90.0,1,1,18.0,4,0.5,2.0,3.0,-1.0,-0.83,-1.67,1.7,0.9,0.8,0.67,0.51,Matches
BiMFsc222001,Billy Gilmour,MF,sct Scotland,22,2001,3,184.0,61.0,68.1,2.0,2,80.0,0,1,24.0,0,0.33,2.0,3.0,-1.0,-0.49,3.7,0.6,1.7,-1.1,-0.55,1.91,Matches
OlFWfr371986,Olivier Giroud,FW,fr France,37,1986,4,59.0,15.0,10.4,0.7,0,,0,4,15.0,2,1.25,0.0,1.0,-1.0,-1.53,-1.88,0.4,0.9,-0.5,-0.7,-1.45,Matches
KlMFal341989,Klaus Gjasula,MF,al Albania,34,1989,1,19.0,19.0,7.0,0.2,0,,0,1,19.0,2,1.0,1.0,2.0,-1.0,-4.74,-4.38,0.5,1.2,-0.7,-3.44,-2.54,Matches
AdMFsi241999,Adam Gnezda Čerin,MF,si Slovenia,24,1999,4,390.0,98.0,100.0,4.3,4,98.0,4,0,,0,1.0,2.0,2.0,0.0,0.0,,3.2,6.1,-2.9,-0.71,-0.71,Matches
GiDFge222001,Giorgi Gocholeishvili,DF,ge Georgia,22,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
JoDFen261997,Joe Gomez,DF,eng England,26,1997,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
AnFWen222001,Anthony Gordon,FW,eng England,22,2001,1,2.0,2.0,0.3,0.0,0,,0,1,2.0,6,1.0,0.0,0.0,0.0,0.0,-0.26,0.1,0.0,0.1,2.94,3.08,Matches
JoMFsi281996,Jon Gorenc Stanković,MF,si Slovenia,28,1996,4,94.0,24.0,24.1,1.0,0,,0,4,24.0,0,1.0,2.0,1.0,1.0,0.96,1.26,1.3,2.0,-0.8,-1.07,-0.49,Matches
RyMFnl212002,Ryan Gravenberch,MF,nl Netherlands,21,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
MiFWat291994,Michael Gregoritsch,FW,at Austria,29,1994,4,126.0,32.0,35.0,1.4,1,58.0,0,3,23.0,0,1.5,2.0,2.0,0.0,0.0,-0.38,3.8,1.7,2.2,1.54,2.11,Matches
AnMFfr321991,Antoine Griezmann,MF/FW,fr France,32,1991,6,394.0,66.0,69.1,4.4,4,84.0,2,2,30.0,0,1.5,2.0,1.0,1.0,0.23,0.23,5.4,3.1,2.3,0.52,-0.23,Matches
FlMFat281995,Florian Grillitsch,MF,at Austria,28,1995,4,194.0,49.0,53.9,2.2,3,56.0,0,1,27.0,0,1.5,4.0,3.0,1.0,0.46,0.46,3.9,3.6,0.3,0.13,-0.08,Matches
ÁlDFes281995,Álex Grimaldo,DF,es Spain,28,1995,2,115.0,58.0,17.4,1.3,1,90.0,1,1,25.0,5,3.0,3.0,0.0,3.0,2.35,1.03,2.9,0.6,2.3,1.77,1.17,Matches
PaMFde321991,Pascal Groß,MF,de Germany,32,1991,1,45.0,45.0,9.4,0.5,0,,0,1,45.0,4,3.0,2.0,1.0,1.0,2.0,0.76,0.8,0.0,0.8,1.63,0.69,Matches
KaMFpl351988,Kamil Grosicki,MF,pl Poland,35,1988,1,16.0,16.0,5.9,0.2,0,,0,1,16.0,2,0.0,0.0,1.0,-1.0,-5.63,-4.92,0.3,1.2,-0.9,-5.31,-5.01,Matches
MaFWat251998,Marco Grüll,FW/MF,at Austria,25,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
NeMFrs321991,Nemanja Gudelj,MF,rs Serbia,32,1991,2,90.0,45.0,33.3,1.0,2,45.0,0,0,,1,0.5,0.0,1.0,-1.0,-1.0,-1.0,0.1,0.8,-0.7,-0.7,-0.82,Matches
MaDFen232000,Marc Guéhi,DF,eng England,23,2000,6,570.0,95.0,82.6,6.3,6,95.0,6,0,,0,1.83,7.0,5.0,2.0,0.32,0.32,5.4,5.6,-0.2,-0.03,0.46,Matches
LuGKge241999,Luka Gugeshashvili,GK,ge Georgia,24,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
PaGulGKhu331990,Péter Gulácsi,GK,hu Hungary,33,1990,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,5.0,-3.0,-1.0,,3.7,3.9,-0.2,-0.07,,Matches
ArFWtr182005,Arda Güler,FW/MF,tr Türkiye,18,2005,5,340.0,68.0,75.6,3.8,4,80.0,1,1,21.0,0,1.8,6.0,5.0,1.0,0.26,1.08,5.2,5.8,-0.6,-0.16,0.66,Matches
İlMFde331990,İlkay Gündoğan,MF,de Germany,33,1990,5,383.0,77.0,79.8,4.3,5,77.0,2,0,,0,2.0,9.0,3.0,6.0,1.41,0.48,6.9,3.0,4.0,0.93,-0.33,Matches
AnGKsc281996,Angus Gunn,GK,sct Scotland,28,1996,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,7.0,-5.0,-1.67,,0.9,4.4,-3.5,-1.16,,Matches
MeGKtr341989,Mert Günok,GK,tr Türkiye,34,1989,4,360.0,90.0,80.0,4.0,4,90.0,4,0,,0,2.25,8.0,5.0,3.0,0.75,3.75,6.6,7.1,-0.5,-0.12,1.03,Matches
JoDFhr222002,Joško Gvardiol,DF,hr Croatia,22,2002,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,3.0,6.0,-3.0,-1.0,,5.7,4.4,1.3,0.44,,Matches
GiDFge321991,Giorgi Gwelesiani,DF,ge Georgia,32,1991,3,162.0,54.0,45.0,1.8,2,77.0,0,1,9.0,1,1.33,3.0,3.0,0.0,0.0,1.36,2.0,3.2,-1.2,-0.66,1.96,Matches
NoDFsk311992,Norbert Gyömbér,DF,sk Slovakia,31,1992,2,32.0,16.0,8.2,0.4,0,,0,2,16.0,2,0.5,0.0,2.0,-2.0,-5.63,-5.88,0.9,0.5,0.4,18.96,19.38,Matches
IaMFro251998,Ianis Hagi,MF,ro Romania,25,1998,4,188.0,47.0,52.2,2.1,2,68.0,0,2,26.0,0,1.0,1.0,3.0,-2.0,-0.96,-0.96,2.0,3.6,-1.6,-0.76,-0.21,Matches
DáDFsk261997,Dávid Hancko,DF,sk Slovakia,26,1997,4,366.0,92.0,93.8,4.1,4,92.0,3,0,,0,1.0,4.0,4.0,0.0,0.0,3.75,4.2,5.4,-1.2,-0.33,-0.09,Matches
GrDFsc321991,Grant Hanley,DF,sct Scotland,32,1991,3,225.0,75.0,83.3,2.5,2,90.0,2,1,45.0,0,0.33,2.0,4.0,-2.0,-0.8,5.2,0.9,3.2,-2.3,-0.9,1.55,Matches
LuFWsk271996,Lukáš Haraslín,FW,sk Slovakia,27,1996,4,264.0,66.0,67.7,2.9,4,66.0,0,0,,0,1.0,4.0,2.0,2.0,0.68,2.82,3.1,4.2,-1.1,-0.39,-0.23,Matches
KaFWde241999,Kai Havertz,FW/MF,de Germany,24,1999,5,389.0,78.0,81.0,4.3,5,78.0,2,0,,0,2.0,8.0,2.0,6.0,1.39,0.4,8.0,2.9,5.0,1.16,0.85,Matches
NiGKat222001,Niklas Hedl,GK,at Austria,22,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
DeGKen261997,Dean Henderson,GK,eng England,26,1997,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
JaDFsc281995,Jack Hendry,DF,sct Scotland,28,1995,3,261.0,87.0,96.7,2.9,3,87.0,2,0,,0,0.33,2.0,7.0,-5.0,-1.72,-1.72,0.9,4.4,-3.5,-1.16,,Matches
BeDFde261997,Benjamin Henrichs,DF,de Germany,26,1997,1,10.0,10.0,2.1,0.1,0,,0,1,10.0,4,3.0,0.0,0.0,0.0,0.0,-1.34,0.4,0.1,0.3,2.49,1.52,Matches
MaGKdk232000,Mads Hermansen,GK,dk Denmark,23,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
ThDFfr261997,Theo Hernández,DF,fr France,26,1997,6,570.0,95.0,100.0,6.3,6,95.0,6,0,,0,1.5,4.0,3.0,1.0,0.16,,9.0,5.2,3.8,0.63,0.63,Matches
MoMFdk241999,Morten Hjulmand,MF,dk Denmark,24,1999,3,245.0,82.0,68.1,2.7,3,82.0,0,0,,0,1.0,2.0,2.0,0.0,0.0,1.57,2.7,2.0,0.7,0.26,1.19,Matches
AdMFcz212002,Adam Hložek,MF,cz Czechia,21,2002,2,108.0,54.0,40.0,1.2,2,54.0,0,0,,1,0.5,0.0,2.0,-2.0,-1.67,-1.67,2.3,1.6,0.7,0.58,0.57,Matches
ToDFcz301993,Tomáš Holeš,DF,cz Czechia,30,1993,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,0.33,3.0,5.0,-2.0,-0.67,-0.67,5.1,4.3,0.7,0.24,0.24,Matches
ToFWsi241999,Tomi Horvat,FW/MF,si Slovenia,24,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
KrMFhu222002,Krisztofer Horváth,MF,hu Hungary,22,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
ArFWal251998,Arbër Hoxha,FW/MF,al Albania,25,1998,3,50.0,17.0,18.5,0.6,0,,0,3,17.0,0,0.33,1.0,0.0,1.0,1.8,3.03,1.0,0.5,0.5,0.93,2.45,Matches
RoDFcz242000,Robin Hranáč,DF,cz Czechia,24,2000,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,5.0,-2.0,-0.67,,5.1,4.3,0.7,0.24,,Matches
PaMFsk311992,Patrik Hrošovský,MF,sk Slovakia,31,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
ElDFal291994,Elseid Hysaj,DF,al Albania,29,1994,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.5,3.0,4.0,-1.0,-0.5,0.5,2.0,4.2,-2.2,-1.1,-0.07,Matches
PiMFdk281995,Pierre Højbjerg,MF,dk Denmark,28,1995,4,353.0,88.0,98.1,3.9,4,88.0,3,0,,0,0.75,2.0,4.0,-2.0,-0.51,-0.51,4.3,4.8,-0.5,-0.13,-0.45,Matches
RaFWdk202003,Rasmus Højlund,FW,dk Denmark,20,2003,4,286.0,72.0,79.4,3.2,4,72.0,0,0,,0,0.75,2.0,4.0,-2.0,-0.63,-0.63,3.5,4.0,-0.4,-0.13,-0.08,Matches
IvMFrs222001,Ivan Ilić,MF,rs Serbia,22,2001,3,201.0,67.0,74.4,2.2,2,78.0,1,1,45.0,0,0.67,1.0,1.0,0.0,0.0,1.3,1.8,2.3,-0.5,-0.21,-0.2,Matches
JoFWsi361988,Josip Iličić,FW/MF,si Slovenia,36,1988,2,31.0,16.0,7.9,0.3,0,,0,2,16.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.49,1.2,Matches
GoDFpt222001,Gonçalo Inácio,DF,pt Portugal,22,2001,2,118.0,59.0,23.1,1.3,1,90.0,1,1,28.0,3,1.5,2.0,2.0,0.0,0.0,-0.46,2.8,1.9,1.0,0.73,-0.2,Matches
ArDFal271996,Ardian Ismajli,DF,al Albania,27,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
LuMFhr251998,Luka Ivanušec,MF,hr Croatia,25,1998,1,21.0,21.0,7.8,0.2,0,,0,1,21.0,2,1.0,0.0,1.0,-1.0,-4.29,-3.56,0.0,0.3,-0.3,-1.21,-1.8,Matches
IvGKhr281995,Ivica Ivušić,GK,hr Croatia,28,1995,0,,,0.0,0.0,0,,0,0,,2,1.0,2.0,2.0,0.0,,,,,,,,Matches
RyDFsc311992,Ryan Jack,DF/MF,sct Scotland,31,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
ErDFsi301993,Erik Janža,DF,si Slovenia,30,1993,3,269.0,90.0,69.0,3.0,3,90.0,2,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,2.6,4.0,-1.4,-0.48,0.58,Matches
ViGKcz222001,Vitezslav Jaros,GK,cz Czechia,22,2001,0,,,0.0,0.0,0,,0,0,,2,0.0,1.0,2.0,-1.0,,,,,,,,Matches
ArMFch212002,Ardon Jashari,MF,ch Switzerland,21,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
MaMFdk281996,Mathias Jensen,MF,dk Denmark,28,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
JoMFit321991,Jorginho,MF,it Italy,32,1991,3,215.0,72.0,59.7,2.4,3,72.0,1,0,,1,1.33,2.0,2.0,0.0,0.0,1.24,2.4,2.4,0.0,-0.01,0.84,Matches
JoFWes331990,Joselu,FW,es Spain,33,1990,2,90.0,45.0,13.6,1.0,1,71.0,0,1,19.0,5,3.0,2.0,0.0,2.0,2.0,0.58,2.0,0.8,1.3,1.59,0.87,Matches
DiFWpt271996,Diogo Jota,FW/MF,pt Portugal,27,1996,3,100.0,33.0,19.6,1.1,0,,0,3,33.0,2,1.33,2.0,0.0,2.0,1.8,1.8,3.2,0.6,2.6,3.37,2.88,Matches
LuMFrs261997,Luka Jović,MF/FW,rs Serbia,26,1997,3,102.0,34.0,37.8,1.1,0,,0,3,34.0,0,0.67,1.0,1.0,0.0,0.0,0.54,1.0,0.9,0.2,0.16,0.5,Matches
JoDFhr281995,Josip Juranović,DF,hr Croatia,28,1995,2,91.0,46.0,33.7,1.0,1,90.0,1,1,1.0,1,1.0,2.0,3.0,-1.0,-0.99,0.02,2.6,1.6,1.1,1.06,0.93,Matches
DaDFcz232000,David Jurásek,DF,cz Czechia,23,2000,2,160.0,80.0,59.3,1.8,2,80.0,0,0,,1,0.5,2.0,2.0,0.0,0.0,1.64,4.6,1.9,2.7,1.5,3.11,Matches
MaDFcz202003,Matěj Jurásek,DF/MF,cz Czechia,20,2003,2,46.0,23.0,17.0,0.5,0,,0,2,23.0,1,0.5,1.0,1.0,0.0,0.0,0.8,1.4,0.7,0.7,1.32,1.3,Matches
MaDFdk331990,Mathias Jørgensen,DF,dk Denmark,33,1990,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
