ID,Player,Age,Pos,OverallScore,PlayingTimeMin,PlayingTimeMn/MP,TeamSuccessPPM,TeamSuccess+/-90,Per90MinG+A,TotalCmp%,SCAPerMP,CarriesDistPerMP,TouchesPerMP,TklIntPerMP,AerialsWonPerMP,TklWPerMP
NuDFpt212002,Nuno Mendes,21,DF,7.181799445278702,419.0,105.0,2.0,0.64,0.4958823529411765,88.2,1.5,333.0,107.25,4.25,2.5,1.5
ToMFde341990,Toni Kroos,34,MF,7.083192205745988,469.0,94.0,2.0,1.34,0.4958823529411765,90.4,4.0,313.4,115.4,3.2,0.2,0.8
PeDFpt401983,Pepe,40,DF,7.038814352622278,408.0,102.0,2.0,0.88,0.4958823529411765,93.6,0.5,348.75,113.75,3.5,2.75,1.25
JoDFde281995,Joshua Kimmich,28,DF,6.952290956090924,480.0,96.0,2.0,1.31,0.37,88.8,5.0,308.6,89.4,2.6,0.6,0.8
AyDFes291994,Aymeric Laporte,29,DF,6.889462406944582,525.0,88.0,3.0,1.37,0.4958823529411765,92.3,2.0,375.5,89.0,1.5,1.3333333333333333,0.5
FaMFes271996,Fabián Ruiz Peña,27,MF,6.850301504746062,540.0,90.0,3.0,1.33,0.67,88.7,2.6666666666666665,287.0,82.0,2.3333333333333335,0.16666666666666666,1.0
RoMFes271996,Rodri,27,MF,6.847788098022356,520.0,87.0,3.0,1.56,0.17,92.9,2.8333333333333335,263.1666666666667,81.16666666666667,2.3333333333333335,1.3333333333333333,1.1666666666666667
DeMFen251999,Declan Rice,25,MF,6.825986340199952,690.0,99.0,1.71,0.26,0.13,91.3,1.8571428571428572,259.57142857142856,86.28571428571429,3.857142857142857,1.1428571428571428,2.142857142857143
MaDFes251998,Marc Cucurella,25,DF,6.717525309678185,545.0,91.0,3.0,1.32,0.17,89.9,2.3333333333333335,189.83333333333334,70.83333333333333,3.3333333333333335,1.5,1.5
RúDFpt261997,Rúben Dias,26,DF,6.655299725242132,420.0,105.0,2.0,0.86,0.4958823529411765,92.9,0.75,408.25,110.75,1.25,2.75,0.25
DaDFes321992,Dani Carvajal,32,DF,6.473654551493629,469.0,94.0,3.0,1.54,0.19,89.5,2.6,175.6,73.2,3.0,1.2,1.0
GrMFch311992,Granit Xhaka,31,MF,6.450648108684507,480.0,96.0,1.8,0.75,0.4958823529411765,90.7,3.4,240.6,89.0,1.8,1.2,1.0
JuMFen202003,Jude Bellingham,20,MF/FW,6.351243345823582,670.0,96.0,1.71,0.27,0.4,85.7,2.4285714285714284,269.57142857142856,63.142857142857146,2.7142857142857144,0.8571428571428571,1.5714285714285714
JuDFfr251998,Jules Koundé,25,DF,6.339112333246915,570.0,95.0,1.5,0.16,0.4958823529411765,84.7,2.8333333333333335,172.83333333333334,76.16666666666667,3.3333333333333335,1.1666666666666667,2.0
BeFWpt291994,Bernardo Silva,29,FW/MF,6.320230951472413,420.0,105.0,2.0,0.86,0.21,89.5,4.5,283.5,74.0,1.25,0.25,1.0
AnDFde301993,Antonio Rüdiger,30,DF,6.166632408576702,480.0,96.0,2.0,1.31,0.4958823529411765,91.0,1.6,241.0,91.8,2.0,0.8,0.8
DaDFfr251998,Dayot Upamecano,25,DF,6.14186133154654,570.0,95.0,1.5,0.16,0.4958823529411765,91.4,1.0,276.1666666666667,70.16666666666667,2.5,2.1666666666666665,1.1666666666666667
EnDFhu291994,Endre Botka,29,DF,6.089345433084419,90.0,90.0,3.0,1.0,0.4958823529411765,82.2,1.0,107.0,56.0,4.0,6.0,1.0
JosDFhr232000,Josip Stanišić,23,DF,6.089150936960499,180.0,90.0,0.5,-1.5,0.4958823529411765,82.0,2.0,208.0,78.0,7.0,1.5,4.0
JoDFen291994,John Stones,29,DF,6.049396771815059,690.0,99.0,1.71,0.26,0.4958823529411765,93.9,0.14285714285714285,316.7142857142857,85.28571428571429,0.7142857142857143,1.7142857142857142,0.42857142857142855
KyDFen331990,Kyle Walker,33,DF,6.044905860665823,690.0,99.0,1.71,0.26,0.4958823529411765,88.4,1.2857142857142858,246.42857142857142,84.85714285714286,1.8571428571428572,0.8571428571428571,0.5714285714285714
BrMFpt291994,Bruno Fernandes,29,MF,6.026405048344914,374.0,94.0,2.0,0.96,0.24,74.4,3.5,291.25,84.25,2.5,0.5,1.25
LaFWes162007,Lamine Yamal,16,FW,6.00226701602466,503.0,72.0,3.0,1.79,0.89,77.1,3.5714285714285716,194.28571428571428,40.714285714285715,2.0,0.14285714285714285,0.8571428571428571
RiDFit212002,Riccardo Calafiori,21,DF,5.995352212851686,270.0,90.0,1.33,0.06656716417910448,0.33,92.7,2.3333333333333335,359.0,85.66666666666667,3.0,2.3333333333333335,0.3333333333333333
GiDFit301993,Giovanni Di Lorenzo,30,DF/FW,5.965303603091623,360.0,90.0,1.0,-0.5,0.4958823529411765,88.2,1.0,227.5,88.25,4.75,1.5,2.25
MyDFua271996,Mykola Matviyenko,27,DF,5.961094054363533,270.0,90.0,1.33,-0.67,0.4958823529411765,91.8,2.6666666666666665,349.0,84.66666666666667,2.6666666666666665,1.3333333333333333,1.0
StDFnl311992,Stefan de Vrij,31,DF,5.9058929149298285,540.0,90.0,1.67,0.5,0.17,91.6,0.8333333333333334,244.83333333333334,77.5,2.3333333333333335,2.1666666666666665,1.1666666666666667
StDFat261997,Stefan Posch,26,DF,5.871516669633952,360.0,90.0,1.5,0.25,0.25,74.0,2.5,172.25,68.75,5.25,1.5,2.25
NiMFat222001,Nicolas Seiwald,22,MF,5.867421134641097,360.0,90.0,1.5,0.25,0.4958823529411765,87.2,2.25,155.75,70.25,5.25,0.25,1.75
RoDFes271996,Robin Le Normand,27,DF,5.85964319074428,442.0,74.0,3.0,1.43,0.4958823529411765,93.0,1.0,215.66666666666666,63.0,1.3333333333333333,2.1666666666666665,0.3333333333333333
N'MFfr321991,N'Golo Kanté,32,MF,5.854735543692478,511.0,85.0,1.5,0.35,0.4958823529411765,88.9,2.5,221.5,62.166666666666664,3.0,0.3333333333333333,1.5
ThDFfr261997,Theo Hernández,26,DF,5.8142203629848055,570.0,95.0,1.5,0.16,0.4958823529411765,89.8,1.6666666666666667,245.33333333333334,75.83333333333333,2.1666666666666665,0.3333333333333333,1.0
JoDFpt291994,João Cancelo,29,DF/MF,5.806990830501364,345.0,86.0,2.0,0.78,0.4958823529411765,86.5,2.0,259.0,74.0,2.5,1.0,1.0
FaDFch321991,Fabian Schär,32,DF,5.790950437933464,480.0,96.0,1.8,0.75,0.4958823529411765,82.7,1.2,193.2,64.4,3.8,1.6,0.8
PaMFde321991,Pascal Groß,32,MF,5.780221310375139,45.0,45.0,3.0,2.0,0.4958823529411765,94.2,5.0,184.0,73.0,1.0,1.0,1.0
MaDFch281995,Manuel Akanji,28,DF,5.773746465636959,480.0,96.0,1.8,0.75,0.4958823529411765,91.8,1.4,267.6,73.0,1.2,1.4,0.4
JaFWde202003,Jamal Musiala,20,FW,5.728539306549015,419.0,84.0,2.0,1.29,0.64,88.1,2.8,250.6,49.2,2.0,0.2,0.8
JoMFpt281995,João Palhinha,28,MF,5.673103201263494,299.0,75.0,1.25,0.3,0.4958823529411765,88.3,1.25,127.0,60.0,5.75,2.0,2.25
PiMFdk281995,Pierre Højbjerg,28,MF,5.661036657255322,353.0,88.0,0.75,-0.51,0.4958823529411765,88.7,2.25,271.0,84.75,3.25,0.5,1.75
RiDFch311992,Ricardo Rodríguez,31,DF,5.65879659389196,480.0,96.0,1.8,0.75,0.4958823529411765,85.6,2.0,197.4,60.2,2.0,0.6,1.2
NiFWes212002,Nico Williams,21,FW,5.633602290112835,492.0,82.0,3.0,1.83,0.55,81.4,2.8333333333333335,211.16666666666666,46.666666666666664,0.5,0.3333333333333333,0.3333333333333333
ViDFnl321991,Virgil van Dijk,32,DF,5.633460558379542,540.0,90.0,1.67,0.5,0.4958823529411765,90.4,1.0,167.16666666666666,75.33333333333333,1.0,3.1666666666666665,0.3333333333333333
StDFrs222001,Strahinja Pavlović,22,DF,5.600506839837955,270.0,90.0,0.67,-0.33,0.4958823529411765,76.1,1.3333333333333333,272.3333333333333,71.33333333333333,5.0,2.3333333333333335,2.0
DaMFes251998,Dani Olmo,25,MF/FW,5.575275768238634,432.0,72.0,3.0,1.25,1.04,81.2,3.0,160.16666666666666,39.666666666666664,1.0,0.3333333333333333,0.5
MaDFen232000,Marc Guéhi,23,DF,5.480421981640397,570.0,95.0,1.83,0.32,0.16,93.5,0.16666666666666666,230.66666666666666,81.5,0.8333333333333334,2.0,0.3333333333333333
StMFsk291994,Stanislav Lobotka,29,MF,5.472053026901093,390.0,98.0,1.0,-0.23,0.4958823529411765,93.8,1.5,242.75,68.0,2.5,0.25,1.5
SaDFtr291994,Samet Akaydın,29,DF,5.417913127992511,335.0,84.0,1.5,-0.27,0.27,89.8,1.0,215.25,62.0,3.75,2.5,1.0
WiDFfr222001,William Saliba,22,DF,5.404547062869671,570.0,95.0,1.5,0.16,0.4958823529411765,96.1,0.5,233.5,69.0,1.5,0.6666666666666666,0.3333333333333333
ReMFch311992,Remo Freuler,31,MF,5.390498263465206,456.0,91.0,1.8,0.59,0.59,87.6,1.4,121.4,55.2,2.4,1.2,1.0
RoMFde291994,Robert Andrich,29,MF,5.357027860969616,318.0,64.0,2.0,1.13,0.4958823529411765,89.7,1.8,143.0,54.4,2.8,1.2,1.6
JoDFde271996,Jonathan Tah,27,DF,5.327417462007144,319.0,80.0,1.75,1.13,0.4958823529411765,94.3,1.5,212.0,77.0,1.5,1.25,0.25
KyFWfr251998,Kylian Mbappé,25,FW,5.304339711521606,464.0,93.0,1.6,0.19,0.39,86.8,3.2,254.4,47.6,0.2,0.4,0.8278164924506388
JoDFdk271996,Joachim Andersen,27,DF,5.283094033565011,360.0,90.0,0.75,-0.5,0.4958823529411765,83.6,1.0,233.0,82.25,1.75,4.5,0.25
MiDFch271997,Michel Aebischer,27,DF,5.266207758120365,476.0,95.0,1.8,0.76,0.57,87.7,1.8,134.2,57.6,1.2,0.8,0.6
AdMFfr281995,Adrien Rabiot,28,MF,5.257411006559521,371.0,74.0,1.6,0.49,0.4958823529411765,91.5,2.6,197.8,55.0,2.0,0.4,1.0
AlDFit241999,Alessandro Bastoni,24,DF,5.251458251042577,360.0,90.0,1.0,-0.5,0.25,91.9,1.25,337.0,91.5,1.5,1.0,0.5
ÁlDFes281995,Álex Grimaldo,28,DF,5.250240900013089,115.0,58.0,3.0,2.35,0.4958823529411765,86.3,3.0,174.5,56.5,2.0,0.5,0.5
MiDFsk281995,Milan Škriniar,28,DF,5.246754721314645,390.0,98.0,1.0,-0.23,0.4958823529411765,91.1,1.25,273.25,79.25,1.25,1.5,0.25
DeDFnl271996,Denzel Dumfries,27,DF,5.244458582171767,449.0,90.0,2.0,0.8,0.4958823529411765,81.2,1.2,113.6,60.6,2.0,1.4,1.0
JaDFdk311992,Jannik Vestergaard,31,DF,5.2418168895865715,360.0,90.0,0.75,-0.5,0.4958823529411765,93.3,0.5,219.25,74.25,1.75,3.5,0.75
JeMFnl271997,Jerdy Schouten,27,MF,5.241788623684952,500.0,83.0,1.67,0.18,0.4958823529411765,92.1,2.0,138.33333333333334,59.333333333333336,2.0,0.6666666666666666,0.5
CoFWnl241999,Cody Gakpo,24,FW,5.183012599665269,523.0,87.0,1.67,0.17,0.69,69.9,2.8333333333333335,149.5,31.333333333333332,2.1666666666666665,1.0,1.3333333333333333
XaMFnl202003,Xavi Simons,20,MF/FW,5.178251431417105,454.0,76.0,1.67,0.59,0.79,82.6,2.6666666666666665,168.66666666666666,39.333333333333336,2.1666666666666665,0.3333333333333333,0.8333333333333334
NiDFrs261997,Nikola Milenković,26,DF,5.160473046139351,270.0,90.0,0.67,-0.33,0.4958823529411765,93.4,0.6666666666666666,279.6666666666667,83.33333333333333,1.6666666666666667,2.0,1.0
PeMFes212002,Pedri,21,MF,5.154832998288473,186.0,47.0,3.0,2.42,0.48,89.9,3.75,92.75,30.0,1.75,1.1037142857142859,0.75
IlDFua212002,Illia Zabarnyi,21,DF,5.152398237024178,270.0,90.0,1.33,-0.67,0.4958823529411765,86.0,1.0,335.0,73.66666666666667,1.6666666666666667,1.0,1.0
KiDFen331990,Kieran Trippier,33,DF,5.126008011426779,450.0,75.0,2.0,-0.2,0.4958823529411765,87.7,1.8333333333333333,101.0,63.666666666666664,2.0,1.3333333333333333,0.6666666666666666
NiMFit261997,Nicolò Barella,26,MF,5.1053318216646915,332.0,83.0,1.0,-0.54,0.27,91.6,1.25,271.0,71.5,3.25,0.25,1.25
ArFWtr182005,Arda Güler,18,FW/MF,5.09280041232954,340.0,68.0,1.8,0.26,0.79,82.2,2.0,181.2,47.8,2.4,1.1037142857142859,1.0
HaMFtr291994,Hakan Çalhanoğlu,29,MF,5.079677709728184,355.0,89.0,1.5,-0.76,0.25,88.9,2.0,214.5,72.0,1.5,0.75,1.0
DaDFes241999,Daniel Vivian,24,DF,5.076519910123705,123.0,62.0,3.0,0.73,0.4958823529411765,92.7,0.5,268.5,62.5,1.5,0.5,1.0
BuFWen222001,Bukayo Saka,22,FW/DF,5.07315227712926,632.0,90.0,1.71,0.28,0.14,83.8,2.2857142857142856,191.57142857142858,47.42857142857143,0.8571428571428571,0.42857142857142855,0.5714285714285714
PhFWen232000,Phil Foden,23,FW/MF,5.054164248526304,617.0,88.0,1.71,-0.15,0.4958823529411765,84.2,1.1428571428571428,183.71428571428572,60.285714285714285,1.1428571428571428,0.2857142857142857,0.5714285714285714
AbDFtr291994,Abdülkerim Bardakcı,29,DF,5.05394274283539,360.0,90.0,1.5,-0.25,0.4958823529411765,86.3,1.75,184.0,61.5,1.5,1.75,0.5
DeDFsk271996,Denis Vavro,27,DF,5.044675673461899,390.0,98.0,1.0,-0.23,0.4958823529411765,80.7,0.75,268.75,75.0,1.0,2.75,0.25
JaDFbe361987,Jan Vertonghen,36,DF,5.036537534625172,270.0,90.0,1.33,0.33,0.4958823529411765,93.8,0.3333333333333333,197.33333333333334,77.66666666666667,1.3333333333333333,2.0,0.6666666666666666
MeDFtr241999,Mert Müldür,24,DF/MF,5.013344867834769,345.0,86.0,2.25,0.52,0.26,77.8,0.75,154.75,54.0,3.0,0.75,1.5
WiDFhu311992,Willi Orban,31,DF,4.990548527935454,270.0,90.0,1.0,-1.0,0.4958823529411765,85.5,1.0,156.0,57.666666666666664,2.6666666666666665,1.6666666666666667,2.3333333333333335
OtDFge281995,Otar Kakabadze,28,DF/MF,4.92379532528461,360.0,90.0,1.0,-0.75,0.4958823529411765,72.5,2.0,111.25,52.75,4.0,1.0,2.0
LuMFhr381985,Luka Modrić,38,MF,4.921042183007148,233.0,78.0,0.67,-0.77,0.39,86.0,2.6666666666666665,294.3333333333333,80.33333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333
OlDFua271996,Oleksandr Zinchenko,27,DF,4.896108095081434,213.0,71.0,1.33,-0.85,0.42,85.1,2.0,154.33333333333334,59.666666666666664,2.3333333333333335,2.3333333333333335,1.6666666666666667
İlMFde331990,İlkay Gündoğan,33,MF,4.892574117879114,383.0,77.0,2.0,1.41,0.47,85.0,2.4,118.2,38.6,1.2,0.6,0.8
KeMFbe321991,Kevin De Bruyne,32,MF,4.887760720425461,360.0,90.0,1.0,0.06656716417910448,0.25,72.2,4.25,163.5,67.75,1.25,1.75,0.25
NaDFes341990,Nacho,34,DF,4.848370463220671,263.0,66.0,3.0,2.05,0.4958823529411765,94.1,1.0,121.75,40.0,0.5,1.25,0.25
SaMFrs271996,Saša Lukić,27,MF,4.8369833176078405,209.0,70.0,0.67,-0.43,0.4958823529411765,94.7,0.6666666666666666,285.6666666666667,59.333333333333336,3.6666666666666665,0.3333333333333333,1.6666666666666667
MaDFde261997,Maximilian Mittelstädt,26,DF,4.808611603119486,304.0,76.0,1.75,1.48,0.3,83.9,1.75,162.0,62.75,1.5,1.1037142857142859,0.5
JaDFpl232000,Jakub Kiwior,23,DF,4.751315036372975,270.0,90.0,0.33,-1.0,0.4958823529411765,83.0,1.6666666666666667,117.66666666666667,61.0,4.0,2.0,1.3333333333333333
GiMFge241999,Giorgi Kochorashvili,24,MF,4.7505131346377585,360.0,90.0,1.0,-0.75,0.25,90.3,1.0,178.25,53.5,3.5,0.25,1.25
TiMFsi251998,Timi Elšnik,25,MF,4.709807240421785,359.0,90.0,1.0,0.06656716417910448,0.25,74.4,1.25,145.5,39.0,4.25,1.0,1.75
NaDFnl281995,Nathan Aké,28,DF,4.639307561059309,470.0,78.0,1.67,0.06656716417910448,0.19,87.2,0.6666666666666666,156.66666666666666,51.666666666666664,2.1666666666666665,0.5,0.8333333333333334
LaDFcz241999,Ladislav Krejčí,24,DF,4.62734088369747,270.0,90.0,0.33,-0.67,0.4958823529411765,85.3,1.6666666666666667,196.66666666666666,56.333333333333336,2.6666666666666665,2.0,0.6666666666666666
KaFWde241999,Kai Havertz,24,FW/MF,4.621424648005436,389.0,78.0,2.0,1.39,0.69,81.9,1.4,106.0,34.8,0.4,1.8,0.2
ToDFcz301993,Tomáš Holeš,30,DF,4.5836729579266065,269.0,90.0,0.33,-0.67,0.4958823529411765,76.0,1.3333333333333333,124.0,51.333333333333336,4.0,2.0,1.6666666666666667
HeMFua212002,Heorhiy Sudakov,21,MF,4.56865853312031,262.0,87.0,1.33,-0.69,0.4958823529411765,83.3,3.0,202.0,48.666666666666664,1.0,0.6666666666666666,0.3333333333333333
FlFWde202003,Florian Wirtz,20,FW/MF,4.566377065235955,279.0,56.0,2.0,0.65,0.65,88.4,2.0,199.2,44.2,0.8,0.2,0.6
MeDFtr251998,Merih Demiral,25,DF,4.54553132107095,208.0,52.0,2.25,1.3,0.87,87.2,0.25,67.75,35.0,1.5,3.5,0.5
IvMFrs222001,Ivan Ilić,22,MF,4.54517132868651,201.0,67.0,0.67,0.06656716417910448,0.45,93.3,1.3333333333333333,220.33333333333334,58.333333333333336,2.0,1.0,1.3333333333333333
AnDFro251998,Andrei Ratiu,25,DF,4.543461102682639,359.0,90.0,1.0,-0.5,0.4958823529411765,82.9,1.0,149.75,42.0,3.0,0.5,1.25
KaMFtr291994,Kaan Ayhan,29,MF/DF,4.5339875274901225,358.0,72.0,1.8,-0.25,0.25,87.2,1.8,121.0,45.0,1.6,1.4,0.6
JeFWbe212002,Jeremy Doku,21,FW/MF,4.52975839521196,320.0,80.0,1.0,-0.28,0.4958823529411765,78.8,3.0,287.5,41.5,1.0,0.25,0.5
MaDFat251998,Maximilian Wöber,25,DF,4.521099367248414,175.0,58.0,1.0,0.51,0.4958823529411765,85.6,1.6666666666666667,196.0,46.333333333333336,2.6666666666666665,2.0,1.0
RaFWpt241999,Rafael Leão,24,FW,4.433175755999048,287.0,72.0,2.0,0.31,0.4958823529411765,75.9,1.75,274.5,35.25,0.75,0.5,0.5
NiDFde241999,Nico Schlotterbeck,24,DF,4.416808415862599,120.0,60.0,1.33,1.5,0.75,90.8,1.0,105.5,51.0,1.5,2.5,0.5
KoMFen182005,Kobbie Mainoo,18,MF,4.415600805384804,368.0,61.0,1.83,-0.49,0.4958823529411765,90.1,1.0,136.33333333333334,39.833333333333336,2.3333333333333335,0.3333333333333333,0.8333333333333334
ChMFdk311992,Christian Eriksen,31,MF/FW,4.414382701884391,348.0,87.0,0.75,-0.52,0.26,74.0,3.0,135.25,63.75,2.0,1.1037142857142859,0.5
ÁlFWes311992,Álvaro Morata,31,FW,4.412924074006535,449.0,64.0,3.0,1.6,0.4,70.9,1.2857142857142858,50.857142857142854,22.142857142857142,0.8571428571428571,1.5714285714285714,0.5714285714285714
PrDFpl281995,Przemysław Frankowski,28,DF,4.41150078592802,270.0,90.0,0.33,-1.0,0.4958823529411765,73.6,2.6666666666666665,176.66666666666666,50.666666666666664,2.6666666666666665,0.3333333333333333,1.6666666666666667
DaMFch232000,Dan Ndoye,23,MF/DF,4.3932196842809255,407.0,81.0,1.8,0.88,0.22,77.8,1.0,171.4,32.2,1.4,1.1037142857142859,0.6
